S,leaf_sizes,key_comparisons,ratio_vs_merge,cpu_median_s,cpu_min_s,speedup_vs_merge
1,1,18674561,1.000000,1.752641,1.741466,0.953591
2,1-2,18674561,1.000000,1.590304,1.579257,1.050932
3,2-3,18674513,0.999997,1.571668,1.558877,1.063394
4,3-4,18727864,1.002854,1.476634,1.469418,1.131832
5,3-4,18727864,1.002854,1.476894,1.469240,1.131633
6,3-4,18727864,1.002854,1.471001,1.469086,1.136166
8,7-8,19073414,1.021358,1.418774,1.415050,1.177990
10,7-8,19073414,1.021358,1.412796,1.411467,1.182975
12,7-8,19073414,1.021358,1.426160,1.413800,1.171890
14,7-8,19073414,1.021358,1.425163,1.413150,1.172709
16,15-16,20222242,1.082876,1.414992,1.401532,1.181139
20,15-16,20222242,1.082876,1.436979,1.422344,1.163066
24,15-16,20222242,1.082876,1.413827,1.404381,1.182112
32,30-31,23186948,1.241633,1.482897,1.480089,1.127052
40,30-31,23186948,1.241633,1.510797,1.483625,1.106239
48,30-31,23186948,1.241633,1.532842,1.514417,1.090329
64,61-62,29880484,1.600064,1.734191,1.728735,0.963736
96,61-62,29880484,1.600064,1.745123,1.742054,0.957699
128,122-123,44185373,2.366073,2.339437,2.314160,0.714404
192,122-123,44185373,2.366073,2.355811,2.316433,0.709438
256,244-245,73735430,3.948442,3.553161,3.545701,0.470370
512,488-489,133829093,7.166385,6.696223,6.556714,0.249589
merge,1,18674561,1.0,1.671302,1.663047,1.0
