n,hybrid_cmps,merge_cmps,hybrid_cpu_med,merge_cpu_med,hybrid_cpu_min,merge_cpu_min,repeats
1000,9088,8717,0.000529,0.000719,0.000518,0.000717,7
2000,20217,19422,0.001214,0.001611,0.001182,0.001596,7
5000,55766,55237,0.003728,0.004640,0.003709,0.004602,7
10000,121468,120431,0.008254,0.010051,0.008185,0.010027,7
20000,263085,260942,0.018913,0.023186,0.017891,0.021766,5
50000,729394,718417,0.050137,0.059461,0.049094,0.059216,5
100000,1558492,1536560,0.107114,0.127176,0.105587,0.127094,5
200000,3315992,3272943,0.230439,0.270648,0.227925,0.268620,5
500000,9036918,8837196,0.625547,0.726279,0.623939,0.726008,3
1000000,19073414,18674561,1.330674,1.547159,1.330539,1.546115,3
2000000,40148187,39349331,2.885307,3.306015,2.880624,3.304371,3
5000000,105556634,105052333,7.999551,8.984865,7.981625,8.943519,2
10000000,221112527,220105208,17.576454,18.993502,17.524813,18.954277,2
