n,S,key_comparisons,cpu_median_s,cpu_min_s,repeats
10000,merge,120431,0.010356,0.010250,7
10000,1,120431,0.010968,0.010864,7
10000,2,120431,0.009829,0.009732,7
10000,3,120446,0.009279,0.009129,7
10000,4,120533,0.009214,0.009079,7
10000,6,121468,0.008542,0.008524,7
10000,8,121468,0.008459,0.008434,7
10000,12,127084,0.008052,0.008021,7
10000,16,127084,0.008052,0.008012,7
10000,24,143504,0.008269,0.008225,7
10000,32,143504,0.008425,0.008293,7
10000,48,184196,0.009806,0.009562,7
10000,64,184196,0.009400,0.009359,7
10000,96,271813,0.012297,0.012245,7
10000,128,271813,0.012285,0.012227,7
100000,merge,1536560,0.126343,0.126156,5
100000,1,1536560,0.132792,0.132355,5
100000,2,1536560,0.123998,0.123582,5
100000,3,1536530,0.113908,0.113181,5
100000,4,1536969,0.113319,0.112520,5
100000,6,1555166,0.109300,0.108184,5
100000,8,1558492,0.108035,0.107770,5
100000,12,1619711,0.106268,0.106043,5
100000,16,1639545,0.107038,0.106740,5
100000,24,1765627,0.110168,0.109113,5
100000,32,1863399,0.111896,0.110959,5
100000,48,1949466,0.113431,0.113311,5
100000,64,2382960,0.126479,0.126345,5
100000,96,2382960,0.126376,0.126178,5
100000,128,3511847,0.164701,0.164179,5
1000000,merge,18674561,1.526727,1.510214,3
1000000,1,18674561,1.614259,1.600066,3
1000000,2,18674561,1.486323,1.480029,3
1000000,4,18727864,1.411677,1.407034,3
1000000,6,18727864,1.403991,1.403402,3
1000000,8,19073414,1.365090,1.360945,3
1000000,12,19073414,1.348395,1.347201,3
1000000,16,20222242,1.363511,1.361242,3
1000000,24,20222242,1.363847,1.358559,3
1000000,32,23186948,1.428246,1.415987,3
1000000,48,23186948,1.425852,1.420680,3
1000000,64,29880484,1.634526,1.629859,3
1000000,128,44185373,2.130541,2.129465,3
10000000,merge,220105208,18.808187,18.651906,2
10000000,2,220105208,18.382537,18.351204,2
10000000,4,220226473,17.966821,17.806873,2
10000000,8,221112527,17.472442,17.138733,2
10000000,16,226423622,16.564518,16.526002,2
10000000,32,242315830,16.849912,16.834964,2
10000000,64,281247481,17.898046,17.874600,2
